Rank,Name,Category,USDC Amount (USD),% of Total
346,Aries Markets,Lending,1661754.24,0.0042%
347,Sablier Lockup,Payments,1621216.17,0.0041%
348,Exactly,Lending,1613267.91,0.0041%
349,SushiSwap,Dexs,1609989.95,0.0041%
350,NEST V1,Dexs,1597779.64,0.0041%
351,Metronome Synth,Synthetics,1582318.33,0.0040%
352,Waves Exchange,Farm,1558525.68,0.0040%
353,Hydrex Integral,Dexs,1546464.60,0.0039%
354,Pionex,CEX,1535690.72,0.0039%
355,Privacy Pools,Privacy,1472123.58,0.0038%
356,StableHodl,Yield,1464021.35,0.0037%
357,Abyss,Yield,1463038.55,0.0037%
358,Bitmex,CEX,1449431.34,0.0037%
359,Zircuit Finance,Yield,1447980.27,0.0037%
360,Drift Trade,Derivatives,1444296.89,0.0037%
361,HashKey Exchange,CEX,1442036.17,0.0037%
362,Taiko Bridge,Canonical Bridge,1426869.01,0.0036%
363,Tothemoon,CEX,1409841.74,0.0036%
364,ThalaSwap,Dexs,1402801.29,0.0036%
365,Uniswap V2,Dexs,1381920.78,0.0035%
366,Balancer V2,Dexs,1374459.99,0.0035%
367,Royco V1,Yield,1362154.10,0.0035%
368,Mento V2,Algo-Stables,1353577.25,0.0034%
369,Canto Lending,Lending,1352470.09,0.0034%
370,Overtime,Prediction Market,1334578.05,0.0034%
371,ZeroLend Vaults,Risk Curators,1322829.15,0.0034%
372,Rezerve Lending,Lending,1322788.55,0.0034%
373,Bucket Protocol V2,CDP,1316529.57,0.0034%
374,Goldfinch,RWA Lending,1311042.01,0.0033%
375,Indodax,CEX,1280581.80,0.0033%
376,Domination Finance,Derivatives,1271690.74,0.0032%
377,Liquidity House,Prediction Market,1269037.10,0.0032%
378,Satori Perp,Derivatives,1267720.23,0.0032%
379,Knightrade,Onchain Capital Allocator,1243758.61,0.0032%
380,STEAMM,Dexs,1212361.61,0.0031%
381,ApeX Pro,Derivatives,1203452.94,0.0031%
382,Tapp Exchange,Dexs,1200415.13,0.0031%
383,UNCX Network V3,Token Locker,1199220.33,0.0031%
384,Bucket CDP,CDP,1193455.16,0.0030%
385,Sprinter,Yield,1183612.17,0.0030%
386,Sonic Gateway,Canonical Bridge,1178720.68,0.0030%
387,Troves,Yield,1175312.05,0.0030%
388,Hanji Protocol,Dexs,1172861.75,0.0030%
389,Hubble,CDP,1170744.21,0.0030%
390,Deri V4,Options,1142604.88,0.0029%
391,Yield Yak Aggregator,Yield Aggregator,1141784.29,0.0029%
392,ForgeYields,Onchain Capital Allocator,1122224.19,0.0029%
393,Boba Bridge,Canonical Bridge,1106274.19,0.0028%
394,Team Finance,Token Locker,1092800.08,0.0028%
395,Propbase,RWA,1092225.65,0.0028%
396,Dexalot DEX,Dexs,1087857.51,0.0028%
397,YieldSeeker,Yield Aggregator,1072761.95,0.0027%
398,LlamaPay,Payments,1060565.12,0.0027%
399,RISEx,Derivatives,1054102.07,0.0027%
400,Loopring,Dexs,1051897.47,0.0027%
401,Pyron,Lending,1049236.10,0.0027%
402,Magma,Dexs,1042506.73,0.0027%
403,Trueo,Prediction Market,1041366.19,0.0027%
404,Cozy Earn,Insurance,1038530.41,0.0026%
405,CHATEAU,RWA,1036455.03,0.0026%
406,Everdex,Dexs,1035521.67,0.0026%
407,KiloEx,Derivatives,1034573.24,0.0026%
408,Namada Shielded Pools,Privacy,1018585.87,0.0026%
409,mStable CDP,CDP,1014931.14,0.0026%
410,ProBit Global,CEX,1005052.77,0.0026%
411,OmniBTC,Lending,1003657.60,0.0026%
412,UNCX Network V2,Token Locker,992221.16,0.0025%
413,Kyan Blue Perps,Derivatives,977139.12,0.0025%
414,Strata Markets,Yield,964710.83,0.0025%
415,Fira,Lending,960317.01,0.0024%
416,Turbos,Dexs,912977.85,0.0023%
417,Phoenix Spot,Dexs,908559.45,0.0023%
418,Typus DOV,Options Vault,908215.88,0.0023%
419,Seamless Vaults,Onchain Capital Allocator,907558.33,0.0023%
420,Lazy,Yield,903480.35,0.0023%
421,NX Finance,Yield Aggregator,901467.93,0.0023%
422,Quickswap V4,Dexs,896593.06,0.0023%
423,Mode Bridge,Canonical Bridge,887122.19,0.0023%
424,Ramses HL,Dexs,884487.21,0.0023%
425,INIT Capital,Lending,883984.93,0.0023%
426,Isle Finance,RWA Lending,876873.15,0.0022%
427,WOOFi Swap,Dexs,868423.41,0.0022%
428,DeFindex,Yield Aggregator,838464.09,0.0021%
429,Angle,CDP,837795.98,0.0021%
430,Trevee Earn,Yield Aggregator,835436.30,0.0021%
431,Saber,Dexs,829810.78,0.0021%
432,DFlow Prediction Market,Interface,824172.53,0.0021%
433,LeverUp,Derivatives,819923.06,0.0021%
434,Supernova CL,Dexs,813045.93,0.0021%
435,Joe DEX,Dexs,810497.88,0.0021%
436,Ring Few,Bridge,809783.27,0.0021%
437,MetalX Lending,Lending,809347.18,0.0021%
438,SuperReturn,Onchain Capital Allocator,805441.71,0.0021%
439,OpenBook,Dexs,800576.28,0.0020%
440,Notional V2,Lending,796722.28,0.0020%
441,Overnight Finance,CDP,789190.28,0.0020%
442,OmniYield,Yield Aggregator,783073.35,0.0020%
443,Hop Protocol,Cross Chain Bridge,782499.99,0.0020%
444,Capyfi,Lending,779672.20,0.0020%
445,Accountable,Uncollateralized Lending,775330.05,0.0020%
446,BiTomato,CEX,770571.27,0.0020%
447,Merchant Moe Liquidity Book,Dexs,768297.42,0.0020%
448,Hidden Hand,Governance Incentives,756121.99,0.0019%
449,Jones DAO,Yield Aggregator,750139.84,0.0019%
450,Carrot Liquidity,Yield Aggregator,749734.97,0.0019%
451,MoneyFi,Yield Aggregator,735161.81,0.0019%
452,Hinkal,Privacy,719805.42,0.0018%
453,Shadow Exchange CLMM,Dexs,715178.09,0.0018%
454,Etherex CL,Dexs,715101.20,0.0018%
455,Sablier Flow,Payments,714134.03,0.0018%
456,SpaceFi zkSync,Dexs,710792.15,0.0018%
457,Hydro Inflow,Yield,705807.26,0.0018%
458,Agni Finance,Dexs,697045.58,0.0018%
459,QiDao,CDP,692503.14,0.0018%
460,Sherpa,Onchain Capital Allocator,689951.06,0.0018%
461,Coinstore,CEX,683781.88,0.0017%
462,Ambient,Dexs,683214.31,0.0017%
463,Giza,AI Agents,680751.86,0.0017%
464,Bitvavo,CEX,676106.43,0.0017%
465,Citrea Bridge,Bridge,674395.77,0.0017%
466,Balancer V1,Dexs,669392.26,0.0017%
467,Taiko Swap,Dexs,657794.52,0.0017%
468,Belt Finance,Yield,652870.50,0.0017%
469,SX Bet,Prediction Market,630896.65,0.0016%
470,ZO Perps,Derivatives,618850.59,0.0016%
471,Honeypop DEX,Dexs,617129.09,0.0016%
472,Tetu Earn,Yield,614725.85,0.0016%
473,DSU Money,CDP,611880.16,0.0016%
474,Nexo,CEX,611191.31,0.0016%
475,Legion,Launchpad,608012.62,0.0015%
476,Set Protocol,Indexes,606382.69,0.0015%
477,Aave V1,Lending,605672.23,0.0015%
478,Gamma,Liquidity Manager,604672.28,0.0015%
479,alphagrowth,Risk Curators,601300.59,0.0015%
480,USD AI,RWA Lending,600254.67,0.0015%
481,ZTLN-P,RWA,599976.59,0.0015%
482,Flipster,CEX,598727.93,0.0015%
483,OrangeX,CEX,597128.37,0.0015%
484,Hatom Lending,Lending,597027.09,0.0015%
485,Steer Protocol,Liquidity Manager,588726.66,0.0015%
486,Sophon Bridge,Canonical Bridge,587024.57,0.0015%
487,Arrakis V1,Liquidity Manager,585793.76,0.0015%
488,MIM Swap,Dexs,583503.18,0.0015%
489,DerivaDEX,Derivatives,580747.18,0.0015%
490,Curvance,Lending,573810.73,0.0015%
491,Limitless Exchange,Prediction Market,564191.34,0.0014%
492,Whales Market,OTC Marketplace,558919.13,0.0014%
493,Hydration Lending,Lending,556583.41,0.0014%
494,Autofarm,Yield Aggregator,556138.96,0.0014%
495,Volo Vault,Risk Curators,552010.96,0.0014%
496,Korbit,CEX,550742.47,0.0014%
497,Fluxion Network,Dexs,550144.66,0.0014%
